Date,S&P PUT-CALL RATIO,S&P PUT VOLUME,S&P CALL VOLUME,PREV. DAY OPEN INTEREST
2014-03-18,1.87,572904.0,306326.0,879230.0
2014-03-17,1.52,385550.0,254046.0,639596.0
2014-03-14,2.55,762003.0,299191.0,1061194.0
2014-03-13,1.41,605376.0,428678.0,1034054.0
2014-03-12,1.76,437458.0,248781.0,686239.0
2014-03-11,1.42,462466.0,326466.0,788932.0
2014-03-10,2.28,408557.0,179556.0,588113.0
2014-03-07,1.75,623854.0,357255.0,981109.0
2014-03-06,1.66,557670.0,336568.0,894238.0
2014-03-05,2.02,501608.0,248170.0,749778.0
2014-03-04,1.81,566537.0,313324.0,879861.0
2014-03-03,2.28,538843.0,236234.0,775077.0
2014-02-28,1.4,685687.0,489876.0,1175563.0
2014-02-27,1.76,451195.0,255978.0,707173.0
2014-02-26,1.69,375111.0,222396.0,597507.0
2014-02-25,1.7,352779.0,207028.0,559807.0
2014-02-24,1.37,524973.0,382201.0,907174.0
2014-02-21,1.4,504055.0,359027.0,863082.0
2014-02-20,1.95,597476.0,305762.0,903238.0
2014-02-19,1.81,936367.0,517570.0,1453937.0
2014-02-18,1.31,402749.0,306819.0,709568.0
2014-02-14,1.35,618477.0,458790.0,1077267.0
2014-02-13,1.36,494334.0,363180.0,857514.0
2014-02-12,1.4,421141.0,301638.0,722779.0
2014-02-11,1.53,922815.0,603083.0,1525898.0
2014-02-10,1.5,366059.0,244722.0,610781.0
2014-02-07,1.46,669443.0,458204.0,1127647.0
2014-02-06,1.86,612734.0,329007.0,941741.0
2014-02-05,1.9,533267.0,280940.0,814207.0
2014-02-04,1.89,694022.0,367592.0,1061614.0
2014-02-03,1.85,1023168.0,553553.0,1576721.0
2014-01-31,2.05,709889.0,346653.0,1056542.0
2014-01-30,1.6,484484.0,302646.0,787130.0
2014-01-29,1.64,571683.0,348465.0,920148.0
2014-01-28,1.67,381944.0,228938.0,610882.0
2014-01-27,1.8,909561.0,503979.0,1413540.0
2014-01-24,1.97,968593.0,492746.0,1461339.0
2014-01-23,2.1,657220.0,313442.0,970662.0
2014-01-22,3.23,554191.0,171381.0,725572.0
2014-01-21,2.04,366668.0,180151.0,546819.0
2014-01-17,2.25,544058.0,241735.0,785793.0
2014-01-16,1.51,522985.0,346648.0,869633.0
2014-01-15,1.11,460807.0,416227.0,877034.0
2014-01-14,1.12,411956.0,369098.0,781054.0
2014-01-13,1.63,588770.0,360431.0,949201.0
2014-01-10,1.42,518662.0,365151.0,883813.0
2014-01-09,1.61,476895.0,296378.0,773273.0
2014-01-08,1.72,451134.0,262490.0,713624.0
2014-01-07,2.03,423099.0,208016.0,631115.0
2014-01-06,1.4,379739.0,271789.0,651528.0
2014-01-03,1.96,591825.0,302122.0,893947.0
2014-01-02,1.8,721118.0,399712.0,1120830.0
2013-12-31,1.04,426903.0,409330.0,836233.0
2013-12-30,1.32,390034.0,296526.0,686560.0
2013-12-27,1.06,410332.0,387838.0,798170.0
2013-12-26,1.08,355526.0,327728.0,683254.0
2013-12-24,1.25,248583.0,199520.0,448103.0
2013-12-23,1.4,374637.0,268369.0,643006.0
2013-12-20,2.08,888644.0,427333.0,1315977.0
2013-12-19,1.0,709530.0,707495.0,1417025.0
2013-12-18,1.34,832505.0,620438.0,1452943.0
2013-12-17,1.44,451088.0,312898.0,763986.0
2013-12-16,1.88,411281.0,218805.0,630086.0
2013-12-13,2.07,598034.0,288493.0,886527.0
2013-12-12,1.34,482297.0,359973.0,842270.0
2013-12-11,1.24,477402.0,384874.0,862276.0
2013-12-10,1.82,403429.0,222059.0,625488.0
2013-12-09,1.43,375099.0,261980.0,637079.0
2013-12-06,1.8,579979.0,321559.0,901538.0
2013-12-05,1.42,499987.0,351491.0,851478.0
2013-12-04,1.63,479711.0,293813.0,773524.0
2013-12-03,1.76,413417.0,234367.0,647784.0
2013-12-02,1.58,333647.0,210511.0,544158.0
2013-11-29,1.43,386789.0,270586.0,657375.0
2013-11-27,1.42,358884.0,251980.0,610864.0
2013-11-26,1.59,343574.0,216590.0,560164.0
2013-11-25,1.53,385723.0,251810.0,637533.0
2013-11-22,1.34,446745.0,334426.0,781171.0
2013-11-21,1.67,326152.0,195254.0,521406.0
2013-11-20,2.21,592367.0,267676.0,860043.0
2013-11-19,1.28,403464.0,314459.0,717923.0
2013-11-18,1.55,459202.0,296878.0,756080.0
2013-11-15,1.58,468072.0,296156.0,764228.0
2013-11-14,1.11,717887.0,644815.0,1362702.0
2013-11-13,1.34,477281.0,356610.0,833891.0
2013-11-12,0.97,442190.0,455745.0,897935.0
2013-11-11,1.16,328101.0,282210.0,610311.0
2013-11-08,1.74,524040.0,301165.0,825205.0
2013-11-07,1.57,497612.0,316566.0,814178.0
2013-11-06,1.37,343342.0,250407.0,593749.0
2013-11-05,1.32,319738.0,243121.0,562859.0
2013-11-04,1.69,321288.0,190082.0,511370.0
2013-11-01,1.58,411286.0,260153.0,671439.0
2013-10-31,1.59,421539.0,265634.0,687173.0
2013-10-30,1.39,598004.0,429420.0,1027424.0
2013-10-29,1.7,355301.0,209167.0,564468.0
2013-10-28,1.53,527937.0,343993.0,871930.0
2013-10-25,1.68,356483.0,212747.0,569230.0
2013-10-24,1.53,354899.0,231485.0,586384.0
2013-10-23,1.81,417911.0,231172.0,649083.0
2013-10-22,1.06,469767.0,444123.0,913890.0
2013-10-21,1.5,409258.0,272673.0,681931.0
2013-10-18,1.38,783635.0,568249.0,1351884.0
